Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Ebwoh",174518961,3661551,2128858,1532693,138,152,46,175,1255002,873856,28,3,91,0,167,14,18,28,47,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,7,3
"Crystal98 2point0",744544319,3077506,1763464,1314042,134,-193,85,185,888509,874955,27,0,80,0,93,12,16,25,40,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,3,2
"Vespa Leader",276623643,1891207,1029373,861834,119,-200,204,169,516822,512551,17,1,40,0,67,4,11,13,26,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
"EddieBrock",212125146,2451343,1481215,970128,152,138,121,122,867747,613468,20,0,20,0,96,2,6,20,35,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5
"Arbie Sama",816945311,1970291,1089900,880391,123,-406,36,173,491672,598228,11,1,36,0,73,5,10,17,22,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
"Chromaxx",717346751,3090141,1806867,1283274,140,-146,143,152,931274,875593,22,2,60,0,119,8,12,23,45,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,6,6
"FiftyMetres",277948243,2270724,1347969,922755,146,-267,111,112,654447,693522,24,1,18,0,105,2,4,18,36,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2
"Kira",611627957,2102426,1314251,788175,166,-63,68,102,704477,609774,16,0,8,0,78,0,3,17,35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
"Toaninja",113518556,2258142,1351616,906526,149,-24,22,84,737724,613892,20,1,5,0,102,0,3,15,36,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
"KorikoRahl",925645683,2202187,1186660,1015527,116,-69,75,89,634244,552416,14,0,19,0,91,3,3,13,30,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2
